ID,Nome,Frase,Parte,Link,Categoria Principal,Tox
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,os desenhos assustadores feitos por crianças parte 1.,Início,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,o primeiro Vamos começar com essa imagem feita por uma menina de apenas quatro anos e no texto de melhores amigos.,Início,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,como podemos ver isso não é humano.,Início,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,agora o que você faria se chegasse em casa e sua filha tivesse esse desenho e dissesse que aquele monstro segue ela todos os dias mesmo que você não possa vê-lo.,Início,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,e por último uma mãe pediu para sua filha desenhar seu amigo imaginário e Isso foi o que ela desenhou.,Início,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,o primeiro Vamos começar com essa imagem feita por uma menina de apenas quatro anos e no texto de melhores amigos.,Meio,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,como podemos ver isso não é humano.,Meio,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,agora o que você faria se chegasse em casa e sua filha tivesse esse desenho e dissesse que aquele monstro segue ela todos os dias mesmo que você não possa vê-lo.,Meio,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,e por último uma mãe pediu para sua filha desenhar seu amigo imaginário e Isso foi o que ela desenhou.,Meio,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,me segue comenta se quer parte 2.,Meio,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,os desenhos assustadores feitos por crianças parte 1.,Fim,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,como podemos ver isso não é humano.,Fim,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,agora o que você faria se chegasse em casa e sua filha tivesse esse desenho e dissesse que aquele monstro segue ela todos os dias mesmo que você não possa vê-lo.,Fim,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,e por último uma mãe pediu para sua filha desenhar seu amigo imaginário e Isso foi o que ela desenhou.,Fim,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
_7XBFxFXMRQ,Desenhos Assustadores Feitos Por Crianças Pt.1 - #Shorts 📝👹😱,me segue comenta se quer parte 2.,Fim,https://www.youtube.com/shorts/_7XBFxFXMRQ,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),o papai está lavando roupa essa manhã papai que camisa é essa,Início,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),é a minha camisa de futebol o jogo de futebol do papai é essa tarde,Início,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),puxa vida mamãe olha só nós espirramos lama na camisa de futebol do papai,Início,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),oh não se preocupem nós vamos lavar ela será lavada em pouco tempo,Início,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),vamos pegar mais umas coisas para colocar na máquina ah o meu vestido está com um pouco de lama,Início,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),Peppa e o seu vestido eu coloquei ele para lavar o quê ah não,Meio,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),puxa o vestido vermelho da Peppa fez as roupas brancas ficarem rosa,Meio,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),rosa não é uma cor muito boa para uma camisa de futebol uh o papai Pig chegou do trabalho,Meio,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),ah papai nós temos um pequeno problema é que diga mais tarde mamãe Pig,Meio,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),desculpa papai mas eu não posso usar uma camisa de futebol rosa por que não papai rosa é uma cor muito linda,Meio,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),mas papai o senhor está com uma camisa branca é só o senhor tirar o seu casaco viu fantástico,Fim,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),olá papai Pig gostei da sua camisa é muito bonita obrigado vamos lá vamos jogar futebol,Fim,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),viva papai o senhor sujou a sua camisa toda de lama é claro Peppa,Fim,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),a camisa de futebol é feita para ficar com lama papai Pig adora jogar futebol,Fim,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
-TCnAM_PvEw,Peppa Pig... Compilation 14 (História: Lavando Roupa),todos adoram jogar futebol em especial o futebol na lama,Fim,https://www.youtube.com/watch?v=-TCnAM_PvEw,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,no episódio de desenhos que foram banidos.,Início,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,nesse Episódio de Betty Boop d1933 a Beth vai visitar um Vilarejo nas montanhas.,Início,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,quando de repente todos os moradores começam a fazer as malas e fugiu.,Início,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,confusa Beth fala com uma coruja que diz de um homem velho das montanhas que tá ameaçando a vida dos moradores principalmente das mulheres.,Início,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,apesar dos avisos da Coruja a Bete fica curiosa e decidiu subir a montanha para ver quem é esse velho.,Início,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,no episódio de desenhos que foram banidos.,Meio,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,confusa Beth fala com uma coruja que diz de um homem velho das montanhas que tá ameaçando a vida dos moradores principalmente das mulheres.,Meio,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,apesar dos avisos da Coruja a Bete fica curiosa e decidiu subir a montanha para ver quem é esse velho.,Meio,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,quando ela chega no topo velho aparece de trás de uma pedra e nos mostra uma cena bem controversa que levou o desenho a ser banido.,Meio,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,nesse Episódio de Betty Boop d1933 a Beth vai visitar um Vilarejo nas montanhas.,Meio,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,no episódio de desenhos que foram banidos.,Fim,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,quando de repente todos os moradores começam a fazer as malas e fugiu.,Fim,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,confusa Beth fala com uma coruja que diz de um homem velho das montanhas que tá ameaçando a vida dos moradores principalmente das mulheres.,Fim,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,quando ela chega no topo velho aparece de trás de uma pedra e nos mostra uma cena bem controversa que levou o desenho a ser banido.,Fim,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0565ORPLgRQ,EPISÓDIOS DE DESENHOS QUE FORAM BANIDOS #shorts,apesar dos avisos da Coruja a Bete fica curiosa e decidiu subir a montanha para ver quem é esse velho.,Fim,https://www.youtube.com/shorts/0565ORPLgRQ,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,nem tudo nasce da semente vou apontar você na hora do papai lá é lindo,Início,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,E se a gente plantasse do lado do meu feijãozinho uma bananeira para o papai fazer um montão de banana split,Início,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,legal então vamos pegar semente de banana Cadê a semente da banana vocês estão vendo alguma semente,Início,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,todas essas frutas tem sementes porque a banana não tem vamos todos subir para o meu quarto para desvendar esse mistério,Início,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,como será que a banana nasce se ela não tem semente deixa eu ver vai calma todos vão ver na sua vez,Início,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,esperamos uma semana inteira se é assim como é que ela nasce sem semente nós temos que descobrir,Meio,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,já sei de conta que a gente era uma banana e entrar numa bananeira para perguntar,Meio,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,a gente não nasce da semente nascemos de um caule que fica aqui embaixo,Meio,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,e é por causa desse caule que a bananeira vira outra maneira é outra maneira vira outra maneira,Meio,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,Oi bananinhas Sou aluna a gente quer plantar uma bananeira como é que faz eu sou meio que mago,Meio,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,mesmo sem sementes eu me propago para uma bananeira virar outra bananeira essa pegar um pedaço de mim,Fim,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,Então as bananas nascem desse caule raiz chamado rizoma que cresce e vira uma bananeira,Fim,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,você sabe como nasce as Bananeiras da semente calma Júpiter ainda não era para você se apresentar,Fim,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,folhas não nasce da semente uma bananeira vira outra bananeira e a outra bananeira vira outra bananeira,Fim,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0nMmWgETnMY,Nem tudo nasce da semente? 🍌🍌 - O Show da Luna! Episódio Completo 03 | Primeira Temporada | Kids,Eco ele também não tem semente nem o morango e a batata a batata tem semente,Fim,https://www.youtube.com/watch?v=0nMmWgETnMY,,0.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,E por falar no butters que mencionamos agorinha.,Início,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,0.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,butters é baseado no diretor de animação do programa.,Início,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,0.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,O personagem Alegre ingênuo E otimista e gente boa do burs é baseado em Eric stalf diretor de animação de South Park.,Início,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,0.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,agora sabemos de onde vem a personalidade do grande burs.,Início,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,0.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,e o culpado ou a inspiração é o diretor de animação Eric stalf.,Início,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,0.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,O culpado ou a inspiração é o diretor de animação Eric stalf.,Meio,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,0.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,que também é responsável por ter escrito alguns dos episódios do show.,Meio,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,0.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,como por exemplo aquele episódio em que o pai de burs é bicurioso.,Meio,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,0.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,e sua mãe tenta matar o coitado do butters.,Meio,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,2.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,butters é baseado no diretor de animação do programa.,Meio,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,0.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,que também é responsável por ter escrito alguns dos episódios do show.,Fim,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,0.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,como por exemplo aquele episódio em que o pai de burs é bicurioso.,Fim,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,0.0
0xWSgd5y-gQ,A Verdadeira Inspiração por Trás do Butters em South Park,e sua mãe tenta matar o coitado do butters.,Fim,https://www.youtube.com/watch?v=0xWSgd5y-gQ,,2.0
